id,datetime,date,time,speaker,type,source_log,text
WA-1990,2026-05-16T22:57:11,2026-05-16,22:57:11,Merry,media/system,reunion,‎<attached: 00000010-VIDEO-2026-05-16-22-57-12.mp4>
WA-1991,2026-05-16T22:58:32,2026-05-16,22:58:32,Merry,media/system,reunion,‎<attached: 00000011-VIDEO-2026-05-16-22-58-33.mp4>
WA-1992,2026-05-16T22:59:49,2026-05-16,22:59:49,Merry,media/system,reunion,‎<attached: 00000012-VIDEO-2026-05-16-22-59-49.mp4>
WA-1993,2026-05-16T23:01:06,2026-05-16,23:01:06,Merry,media/system,reunion,‎<attached: 00000013-VIDEO-2026-05-16-23-01-07.mp4>
WA-1994,2026-05-16T23:17:17,2026-05-16,23:17:17,Merry,media/system,reunion,‎<attached: 00000014-VIDEO-2026-05-16-23-17-18.mp4>
WA-1995,2026-05-16T23:19:04,2026-05-16,23:19:04,Merry,media/system,reunion,‎<attached: 00000015-VIDEO-2026-05-16-23-19-05.mp4>
WA-1996,2026-05-16T23:19:13,2026-05-16,23:19:13,Merry,media/system,reunion,"‎<attached: 00000016-VIDEO-2026-05-16-23-19-14.mp4> ⏎ [5/16/26, 11:21:25 PM] Merry:"
WA-1997,2026-05-16T23:21:26,2026-05-16,23:21:26,Merry,media/system,reunion,Here enjoy some of my art in the meantime for old time sake. I make shaders now. ‎<attached: 00000018-VIDEO-2026-05-16-23-21-26.mp4>
WA-1998,2026-05-16T23:21:26,2026-05-16,23:21:26,Merry,media/system,reunion,‎<attached: 00000019-VIDEO-2026-05-16-23-21-26.mp4>
WA-1999,2026-05-16T23:21:26,2026-05-16,23:21:26,Merry,media/system,reunion,‎<attached: 00000020-VIDEO-2026-05-16-23-21-27.mp4>
WA-2000,2026-05-16T23:21:26,2026-05-16,23:21:26,Merry,media/system,reunion,‎<attached: 00000021-VIDEO-2026-05-16-23-21-27.mp4>
